type,empty_weight
#1,9
#2,2.7
#3,3.1
#4,4.1
#5,1.7
#6,2.5
#7,3
#sq,4.6
#103d,2.3
#104da,11
#104db,9.4
#103l,2.9
#1028l,7.4
