date,lunch,dinner
2022-10-03,841,446
2022-10-04,766,413
2022-10-05,789,411
2022-10-06,726,345
2022-10-10,885,325
2022-10-11,751,395
2022-10-12,770,360
2022-10-13,725,420
2022-10-14,625,255
2022-10-17,781,422
2022-10-18,717,402
2022-10-19,738,361
2022-10-20,761,315
2022-10-21,647,267
2022-10-24,1118,391
2022-10-25,734,383
2022-10-26,795,416
2022-10-28,560,270
2022-10-31,747,436
2022-11-01,432,513
2022-11-02,620,452
2022-11-03,481,494
2022-11-04,458,352
